LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
07,710,LAYTON HIGH,07-710,,STVSBGI,Y,N,N,
07,730,MOUNTAIN HIGH,07-730,,STVSBGI,Y,N,N,
07,711,NORTHRIDGE HIGH,07-711,,STVSBGI,Y,N,N,
07,733,RENAISSANCE ACADEMY,07-733,,STVSBGI,Y,N,N,
07,660,STAR TRANSITION,07-660,,STVSBGI,Y,N,N,
07,716,SYRACUSE HIGH,07-716,,STVSBGI,Y,N,N,
07,712,VIEWMONT HIGH,07-712,,STVSBGI,Y,N,N,
07,714,WOODS CROSS HIGH,07-714,,STVSBGI,Y,N,N,
08,704,ALTAMONT HIGH,08-704,,STVSBGI,Y,N,N,
08,802,CON AMORE SCHOOL,08-802,,STVSBGI,Y,N,N,
08,708,DUCHESNE HIGH,08-708,,STVSBGI,Y,N,N,
08,712,TABIONA HIGH,08-712,,STVSBGI,Y,N,N,
08,714,UNION HIGH,08-714,,STVSBGI,Y,N,N,
09,706,EMERY HIGH,09-706,,STVSBGI,Y,N,N,
09,704,GREEN RIVER HIGH,09-704,,STVSBGI,Y,N,N,
10,704,BRYCE VALLEY HIGH,10-704,,STVSBGI,Y,N,N,
10,708,ESCALANTE HIGH,10-708,,STVSBGI,Y,N,N,
10,712,PANGUITCH HIGH,10-712,,STVSBGI,Y,N,N,
11,704,GRAND COUNTY HIGH,11-704,,STVSBGI,Y,N,N,
12,702,COTTONWOOD HIGH,12-702,,STVSBGI,Y,N,N,
12,704,CYPRUS HIGH,12-704,,STVSBGI,Y,N,N,
12,708,GRANGER HIGH,12-708,,STVSBGI,Y,N,N,
12,740,GRANITE CONNECTION HIGH,12-740,,STVSBGI,Y,N,N,
12,775,GRANITE TECHNICAL INSTITUTE (GTI),12-775,,STVSBGI,Y,N,N,
12,710,HUNTER HIGH,12-710,,STVSBGI,Y,N,N,
12,714,KEARNS HIGH,12-714,,STVSBGI,Y,N,N,
12,716,OLYMPUS HIGH,12-716,,STVSBGI,Y,N,N,
12,718,SKYLINE HIGH,12-718,,STVSBGI,Y,N,N,
12,722,TAYLORSVILLE HIGH,12-722,,STVSBGI,Y,N,N,
12,501,YOUTH EDUCATIONAL SUPPORT SCHOOL,12-501,,STVSBGI,Y,N,N,
13,712,CANYON VIEW HIGH,13-712,,STVSBGI,Y,N,N,
13,704,CEDAR CITY HIGH,13-704,,STVSBGI,Y,N,N,
13,708,PAROWAN HIGH,13-708,,STVSBGI,Y,N,N,
13,750,SOUTHWEST EDUCATIONAL ACADEMY,13-750,,STVSBGI,Y,N,N,
14,704,BINGHAM HIGH,14-704,,STVSBGI,Y,N,N,
14,703,COPPER HILLS HIGH,14-703,,STVSBGI,Y,N,N,
14,707,HERRIMAN HIGH,14-707,,STVSBGI,Y,N,N,
14,744,JORDAN ACADEMY FOR TECHNOLOGY & CAREERS SOUTH,14-744,,STVSBGI,Y,N,N,
14,741,JORDAN ACADEMY FOR TECHNOLOGY AND CAREERS - NORTH,14-741,,STVSBGI,Y,N,N,
14,830,KAURI SUE HAMILTON,14-830,,STVSBGI,Y,N,N,
14,710,RIVERTON HIGH,14-710,,STVSBGI,Y,N,N,
14,802,SOUTH VALLEY SCHOOL,14-802,,STVSBGI,Y,N,N,
14,716,VALLEY HIGH SCHOOL,14-716,,STVSBGI,Y,N,N,
14,718,WEST JORDAN HIGH,14-718,,STVSBGI,Y,N,N,
15,704,JUAB HIGH,15-704,,STVSBGI,Y,N,N,
16,712,BIG WATER HIGH,16-712,,STVSBGI,Y,N,N,
16,704,KANAB HIGH,16-704,,STVSBGI,Y,N,N,
16,714,LAKE POWELL HIGH SCHOOL,16-714,,STVSBGI,Y,N,N,
16,708,VALLEY HIGH,16-708,,STVSBGI,Y,N,N,
17,704,DELTA HIGH,17-704,,STVSBGI,Y,N,N,
17,712,ESKDALE HIGH,17-712,,STVSBGI,Y,N,N,
17,708,MILLARD HIGH,17-708,,STVSBGI,Y,N,N,
18,704,MORGAN HIGH,18-704,,STVSBGI,Y,N,N,
19,650,BRIDGES NEBO TRANSITION CENTER,19-650,,STVSBGI,Y,N,N,
19,720,LANDMARK HIGH,19-720,,STVSBGI,Y,N,N,
19,702,MAPLE MOUNTAIN HIGH,19-702,,STVSBGI,Y,N,N,
