LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
25,704,MONTICELLO HIGH,25-704,450210,STVSBGI,Y,N,N,4/13/2017
25,706,MONUMENT VALLEY HIGH,25-706,450213,STVSBGI,Y,N,N,4/13/2017
18,704,MORGAN HIGH,18-704,450215,STVSBGI,Y,N,N,4/13/2017
04,702,MOUNTAIN CREST HIGH,04-702,450138,STVSBGI,Y,N,N,4/13/2017
9F,600,MOUNTAIN HEIGHTS ACADEMY,9F-600,450391,STVSBGI,Y,N,N,4/13/2017
07,730,MOUNTAIN HIGH,07-730,450154,STVSBGI,Y,N,N,4/13/2017
01,711,MOUNTAIN VIEW HIGH,01-711,450280,STVSBGI,Y,N,N,4/13/2017
40,650,MURRAY ADULT TRANSITION,40-650,,STVSBGI,Y,N,N,4/13/2017
40,704,MURRAY HIGH,40-704,450235,STVSBGI,Y,N,N,4/13/2017
25,712,NAVAJO MOUNTAIN HIGH,25-712,450024,STVSBGI,Y,N,N,4/13/2017
19,747,NEBO ADVANCED LEARNING CENTER,19-747,,STVSBGI,Y,N,N,4/13/2017
A1,700,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),A1-700,450346,STVSBGI,Y,N,N,4/13/2017
41,111,NORTH REGION BLIND,41-111,,STVSBGI,Y,N,N,4/13/2017
41,121,NORTH REGION DEAF,41-121,,STVSBGI,Y,N,N,4/13/2017
20,704,NORTH SANPETE HIGH,20-704,450225,STVSBGI,Y,N,N,4/13/2017
20,801,NORTH SANPETE SPECIAL PURPOSE SCHOOL,20-801,,STVSBGI,Y,N,N,4/13/2017
26,704,NORTH SEVIER HIGH,26-704,450355,STVSBGI,Y,N,N,4/13/2017
21,704,NORTH SUMMIT HIGH,21-704,450055,STVSBGI,Y,N,N,4/13/2017
07,711,NORTHRIDGE HIGH,07-711,450164,STVSBGI,Y,N,N,4/13/2017
38,560,OAK SPRINGS SCHOOL,38-560,,STVSBGI,Y,N,N,4/13/2017
37,707,OGDEN HIGH,37-707,450255,STVSBGI,Y,N,N,4/13/2017
